ケーススタディ_URL,事業内容,会社HP
https://www.aidma-hd.jp/case/zirei-305/,Web集客支援サービス・セミオーダーのホームページ制作・自社MEOツール 「Local Boost」・店舗事業者向けSaaS 「aumoマイビジネス」,https://www.furutori.co.jp/
https://www.aidma-hd.jp/case/zirei-301/,不動産賃貸、オフィス関連機器の販売、コンサルティング,https://okada-bldg.co.jp/
https://www.aidma-hd.jp/case/zirei-300/,商品開発、製造、販売,https://www.kg-holdings.co.jp/
https://www.aidma-hd.jp/case/zirei-298/,工場エンジニア専門の人材マッチングサービス「ロボカル」運営,https://robokaru.jp/
https://www.aidma-hd.jp/case/zirei-295/,パッケージのご提案~配送まで提供する総合商社。 軟包装、紙器、食品充填、成型品、ノベルティ、副資材や物流資材、工業用資材等、パッケージに関わるあらゆるサービスを一貫して提供。,http://www.toshima-package.co.jp/site/
https://www.aidma-hd.jp/case/zirei-294/,レーザー加工機の製造・販売・メンテナンス、各種機械・中古機の販売,https://lantechno.com/
https://www.aidma-hd.jp/case/zirei-293/,製造　刺繍　縫製　プリント,https://www.shishu-fukuda.com/
https://www.aidma-hd.jp/case/zirei-285/,地方創生事業、地域開発事業、ビジネスコンサルティング事業、広告クリエイティブ事業,https://machiai-tokuyama.com/
https://www.aidma-hd.jp/case/zirei-284/,映像制作　イベント企画制作,https://scrum-one.co.jp/
https://www.aidma-hd.jp/case/zirei-279/,食用茸菌の研究・開発・製造、健康食品、清涼飲料水、農薬及び肥料の販売、不動産事業,http://www.nsk-lem.com/
https://www.aidma-hd.jp/case/zirei-275/,出張ケータリング・飲食・宿泊・ウェディング,https://totalflow.jp/
https://www.aidma-hd.jp/case/zirei-270/,機械設計・人材派遣・3Dプリント事業,http://techno-rise.co.jp/
https://www.aidma-hd.jp/case/zirei-269/,IRコンサルティング　IRプロ養成　IR研究室の運営　教育・研修サービス,https://kainos-p.com/
https://www.aidma-hd.jp/case/zirei-268/,印刷加工・製造,https://inside-jnet.com/
https://www.aidma-hd.jp/case/zirei-267/,お米・雑穀等の卸売・小売・配送、生産者へのお米の直接買付,https://www.shikoku-food.co.jp/
https://www.aidma-hd.jp/case/zirei-262/,刺繍業・小売販売,http://www.kasamori.co.jp/
https://www.aidma-hd.jp/case/zirei-261/,金属材料販売及び加工,http://www.ukai-steel.com/
https://www.aidma-hd.jp/case/zirei-254/,一般乗用旅客自動車運送事業・タクシー会社,https://fuyoukotsuu.net/
https://www.aidma-hd.jp/case/zirei-253/,CO2 レーザー加工 精密板金加工 モニュメントの製作・施工,https://www.hira-ss.com/
https://www.aidma-hd.jp/case/zirei-252/,マイコン応用装置受託開発、大学・研究機関の試作開発、無線周辺装置の制作・販売、機械・機構設計、アニメーション撮影機器,http://www.asap-sys.co.jp/
https://www.aidma-hd.jp/case/zirei-245/,測量・調査、土木設計,https://www.sennan-ss.co.jp/
https://www.aidma-hd.jp/case/zirei-244/,精密部品特殊表面処理 ・塗装 ・光学製品部品 ・機械製品部品 ・電気製品部品 ・通信機器部品等,https://www.seed-advance.jp/
https://www.aidma-hd.jp/case/zirei-243/,各種シャッター・アルミ製品　販売施工,https://shutter-center.co.jp/
https://www.aidma-hd.jp/case/zirei-237/,映像制作,https://filmlab.co.jp/
https://www.aidma-hd.jp/case/zirei-236/,・経営に関する相談全般・人的資本経営（DX研修、ハラスメント予防研修など） ・海外進出支援 ・新事業展開に役立つ補助金 ・融資制度情報（申請業務） ・労務管理向上・従業員のキャリアアップ ・雇用に役立つ厚生労働省助成金情報（申請業務） ・メンタリング事業,https://joseikin.net/
https://www.aidma-hd.jp/case/zirei-235/,レトルト食品加工,https://www.cost-design.co.jp/
https://www.aidma-hd.jp/case/zirei-234/,研修、コンサルティング,https://tayama.co.jp/
https://www.aidma-hd.jp/case/zirei-233/,オーガニック認定・スーパーフード原料、薬膳（クコの実・ナツメ他）原料・製品卸、OEM、販売,https://baxian.co.jp/
https://www.aidma-hd.jp/case/zirei-222/,コンテンツ企画事業・番組制作事業・実写撮影請負い事業・映像素材の制作／販売事業・ペーパードーム関連事業・その他、コンテンツに関わるコンサルタント、制作・興行支援 等,https://www.goto-img.co.jp/
https://www.aidma-hd.jp/case/zirei-221/,3Dレーザー計測を活用した現場の効率化提案・助成金コンサルの紹介・ダイナミックデスケーラー代理店・マッチングサービス・産業資材、工具、消耗品の販売・切削、板金製缶加工・レアメタル加工、材料販売・自社オリジナル商品：テーパーライナー、アースコード,https://iwai181.com/
https://www.aidma-hd.jp/case/zirei-220/,・軽貨物運送事業 ・通販物流支援 ・物流コンサルティング ・物流ソリューション / システム開発,https://logicome.com/
https://www.aidma-hd.jp/case/zirei-219/,廃棄物処理・リサイクル・下水道施設維持管理 ・浄化槽施設維持管理／清掃・バイオ燃料研究開発・検査機器販売,https://www.keinan-clean.com/
https://www.aidma-hd.jp/case/zirei-214/,建築物の解体、外構工事・造成工事,http://ysk-a.com/
https://www.aidma-hd.jp/case/zirei-211/,ニンニク商品の製造・販売,https://www.shizenkyosei.co.jp/
https://www.aidma-hd.jp/case/zirei-210/,丸棒材のセンタレス研削加工、丸棒材の曲がり矯正加工,https://centerless-ism.com/
https://www.aidma-hd.jp/case/zirei-209/,ネットワークカメラ 防犯カメラ,https://aileunsys.co.jp/
https://www.aidma-hd.jp/case/zirei-208/,産業用機械設備用部品製造、医療・食品等の部品製造、板金加工、架台等の製缶加工、 　レーザー賃加工、機械加工自動車、オートバイ等の金属アフターパーツやホビー品等、なんでも製作します。,https://fujiprotec.com/
https://www.aidma-hd.jp/case/zirei-207/,介護離職防止コンサル,https://wcb-labo.com/company/
https://www.aidma-hd.jp/case/zirei-203/,おしゃぶり型の嚥下トレーニング器具「Curemouth（キュアマウス）」の販売。 「Curemouth（キュアマウス）」は、免疫力を上げることを目的に歯科医が開発。,https://curemouth.com/
https://www.aidma-hd.jp/case/zirei-201/,人材サービス事業 イベントプロモーション事業 ビジネスパートナー事業,https://prize.co.jp/
https://www.aidma-hd.jp/case/zirei-200/,土木工事、環境トイレ販売,http://www.yanoen.jp/
https://www.aidma-hd.jp/case/zirei-199/,牡蠣の養殖,https://ryoushi-sendo.co.jp/
https://www.aidma-hd.jp/case/zirei-197/,測量調査 役所調査,https://www.landex-ltd.com/
https://www.aidma-hd.jp/case/zirei-193/,医療機器商社、医療DX支援,https://kkme.co.jp/
https://www.aidma-hd.jp/case/zirei-192/,一般労働者派遣事業、有料職業紹介事業、ITソリューション事業、メディカルサービス事業,https://www.staff-q.co.jp/
