URL,所在地,会社HP,従業員数,事業内容,得意な材質,得意な大きさ,得意な板厚,得意なロット,得意な形状,処理能力,得意なリサイクル品,得意な製法,得意なトン数,得意な長さ,強み,ゼロバリとは？,特徴,精度,事業内容 （主な加工内容）,取扱い材質
https://eigyo-mfg.com/casestudy/1002/,兵庫県川西市久代1丁目15-8,https://sanyuu-1991.com/,45名,精密板金加工・溶接加工,鉄/アルミ/SUS,高さ1m以内,0.8㎜～12㎜,単品から量産まで,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1804/,福島県郡山市田村町金屋字新家16番地,http://www.hinode-k.co.jp/,22名,産業機械用精密部品製造,鉄/SUS/アルミ/真鍮/銅,φ5～φ50,,"1,000~10,000個程度",軸物,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/2029/,大阪府堺市堺区海山町2丁55番地,https://yamane.ne.jp/,25名,製鋼原料、非鉄金属の選別、解体および販売 産業廃棄物処理（収集運搬・中間処理）,,,,,,"鉄スクラップ月間15,000トン",鉄・金属類,,,,,,,,,
https://eigyo-mfg.com/casestudy/2083/,滋賀県草津市草津4丁目8-24,https://www.agata-g.co.jp/,30名,プリント基板試作実装・制御盤組立　LED階段足元灯　ドローン事業　太陽光発電売電事業,"CEM3,FR4,フレキ,アルミ,セラミック","基板最大サイズ290×510以内
Mサイズ以下",,１台からの多品種小ロット,異形基板でも対応可能,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1992/,鳥取県米子市旗ヶ崎6-1-31,https://www.jfitami.com/,25名,製餡（こしあん・つぶあん）・ジャム・ペースト・餅・菓子製造業,,,,小ロット製造（50kg〜）,,,,氷温熟成,,,,,,,,
https://eigyo-mfg.com/casestudy/1684/,愛知県名古屋市港区正保町4-2,https://www.tokokk.com,22名,プレス機械部品及び組み付け加工・マシニングセンター加工,鉄・鋳物・アルミ・SUS,横マシ800×1200　立マシ1500×760,,3個以上～大きさにより1000個,角、鍛造品、異形状,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1689/,大阪府大阪市生野区巽南5-14-35,https://www.muranakakinzoku.co.jp/,9名,金型設計製作・板金プレス加工業,鉄・SUS・アルミ,,板厚0.1~3.0,100~3000/単発のみ,,,,,25~110ton,,,,,,,
https://eigyo-mfg.com/casestudy/1686/,栃木県那須郡那須町大字寺子2716-5,http://daikoharness.noeloffice.com/company.html,35名,医療器具ハーネス加工,,,,小ロット～100程度,単線ハーネス,,,,,1m前後,,,,,,
https://eigyo-mfg.com/casestudy/1116/,岐阜県美濃加茂市 加茂野町稲辺164-3,https://www.marutatu.co.jp/,15名,板金、製缶加工,鉄,両手で持てるサイズ～2000×2000㎜,2.mmから25mm,20個以下の多品種少ロット,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1433/,千葉県船橋市豊富町620-2,https://www.msb-c.co.jp/,42名,精密板金業・レーザー溶接・工作機械の部品製造・建築部材の製造,鉄・アルミ・SUS・銅・真鍮,,"鉄：～28㎜
SUS：～ 16mm
アルミ：～15㎜
銅：～12㎜",多品種少量,"機械製缶
筐体・カバー・架台・溶接等",,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1683/,山口県下松市末武下西沖680-16,https://www.sanwa21.co.jp/,70名,電解研磨、バフ研磨、電解複合研磨,ステンレス,手のひら~1m角,,単品～1000個未満,容器形状,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1107/,大阪府摂津市鳥飼本町5-2-16,https://s-skk.com/,4名,精密・一般加工部品全般,,,,,,,,,,,"オールマイティー！
管理の手間省きます！",,,,,
https://eigyo-mfg.com/casestudy/1103/,石川県能美市秋常町甲12番地,https://motorashi.co.jp/,23名,非鉄金属のNC切削加工,非鉄金属全般,Φ0.4~64,,月産1個~10万個,丸物、異形,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1055/,福井県坂井市丸岡町舟寄9-3-1,https://www.kk-giken.com/,17名,ハイブリッドドリル「ゼロバリ」販売、その他切削工具の製作・特殊加工,,,,,,,,,,,,「バリの出ない」ハイブリッドドリル,"バリ取りにかけていた時間の削減可能
工程数削減によるコストダウンを実現",穴精度H6-7で、精度が高い,,
https://eigyo-mfg.com/casestudy/1218/,大阪府柏原市国分東条町4327番地2,http://www.mihara-seiki.com/index.cgi,57名,自動車ステアリング用精密重要保安部品の製造 / 多品種小ロット切削加工部品製造,SUS・鉄,"自動盤：4φ～30φ、長手：10－250㎜
通常旋盤：10φ～300φ、長手：10-600ｍｍ",,,丸物・軸物・六角等,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1049/,埼玉県秩父市中村町3丁目22-9,https://hara-works.com/,22名,切削加工,SUS,Φ3～Φ30,,500個～3000個,"複雑形状品
長尺のシャフト材",,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1122/,愛知県みよし市莇生町辰己山102,https://e-shinko.co.jp/,52名,切削加工全般・加工部品の表面処理及び組み付け・真鍮加工/切削加加工,真鍮・鉄・ステンレス・アルミ,4Φ～100Φ,,"100～4000個/月
多品種少量対応可能",角物・丸物,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1095/,福井県福井市上中町27-13-1,https://www.maruishi-kougyou.com/,6名,溶接・製缶、型枠設計・製造,SUS、鉄,"幅×長さ×高さ：2000×3m×2000
板厚:4.5mm～6mm
薄板1.2mm、厚板:25mm
天井クレーンが2.8ｔと2ｔ対応可能",,一品一様∼100以上,"筐体・ブラケット
架台・機械カバー",,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1079/,埼玉県久喜市河原井町39番地（久喜菖蒲工業団地7-1-3）,https://sanshu-ind-co-jp.prm-ssl.jp/index.html,28名,インパクトプレスによるアルミ製品の製造・自動機、省力化装置・FA機器の設計・製作、販売,,,,,,,,,,,,,,,,
